"filename", "language", "AL", "Markdown", "HTTP", "Batch", "JSON", "alapp", "XML", "comment", "blank", "total"
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\Licenseplate.Report.al", "AL", 154, 0, 0, 0, 0, 0, 0, 8, 26, 188
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\Ordrebeholdning.Report.al", "AL", 176, 0, 0, 0, 0, 0, 0, 12, 26, 214
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\PallelisteEksport.Report.al", "AL", 0, 0, 0, 0, 0, 0, 0, 225, 0, 225
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\PalletShipmentReport.Report.al", "AL", 201, 0, 0, 0, 0, 0, 0, 23, 33, 257
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\ProductionControllingPriority.Report.al", "AL", 102, 0, 0, 0, 0, 0, 0, 2, 17, 121
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\Salgsprisliste.Report.al", "AL", 538, 0, 0, 0, 0, 0, 0, 45, 93, 676
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\ScanpanPallelabel.Report.al", "AL", 387, 0, 0, 0, 0, 0, 0, 37, 55, 479
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\UpdateXTESCSSTrackAndTrace.Report.al", "AL", 51, 0, 0, 0, 0, 0, 0, 8, 16, 75
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\Vareenhedsliste.Report.al", "AL", 179, 0, 0, 0, 0, 0, 0, 19, 16, 214
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\Varelabel.Report.al", "AL", 256, 0, 0, 0, 0, 0, 0, 5, 33, 294
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\BinContentTableSC.TableExt.al", "AL", 24, 0, 0, 0, 0, 0, 0, 9, 4, 37
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\CDOEMailRecipient.TableExt.al", "AL", 27, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\CapacityLedgerEntry.TableExt.al", "AL", 18, 0, 0, 0, 0, 0, 0, 6, 3, 27
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\CountryRegion.TableExt.al", "AL", 31, 0, 0, 0, 0, 0, 0, 4, 4, 39
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\Customers.TableExt.al", "AL", 45, 0, 0, 0, 0, 0, 0, 11, 6, 62
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\DefaultDimension.TableExt.al", "AL", 17, 0, 0, 0, 0, 0, 0, 3, 8, 28
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\IDYSTransportOrderLine.TableExt.al", "AL", 0, 0, 0, 0, 0, 0, 0, 39, 3, 42
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\InventorySetup.TableExt.al", "AL", 22, 0, 0, 0, 0, 0, 0, 12, 7, 41
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\ItemExt.TableExt.al", "AL", 58, 0, 0, 0, 0, 0, 0, 14, 3, 75
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\ItemLedgerEntry.TableExt.al", "AL", 11, 0, 0, 0, 0, 0, 0, 9, 0, 20
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\ItemUnitofMeasureExtSC.TableExt.al", "AL", 3, 0, 0, 0, 0, 0, 0, 3, 1, 7
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\PostedWhseShipmentHeader.TableExt.al", "AL", 11, 0, 0, 0, 0, 0, 0, 8, 8, 27
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\PostedWhseShipmentLine.TableExt.al", "AL", 18, 0, 0, 0, 0, 0, 0, 6, 0, 24
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\ProdOrderLine.TableExt.al", "AL", 36, 0, 0, 0, 0, 0, 0, 7, 1, 44
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\ProdOrderRoutingLine.TableExt.al", "AL", 16, 0, 0, 0, 0, 0, 0, 14, 9, 39
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\ProductionOrder.TableExt.al", "AL", 40, 0, 0, 0, 0, 0, 0, 10, 4, 54
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\PurchInvHeader.TableExt.al", "AL", 15, 0, 0, 0, 0, 0, 0, 6, 6, 27
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\PurchInvLine.TableExt.al", "AL", 11, 0, 0, 0, 0, 0, 0, 9, 6, 26
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\PurchaseHeader.TableExt.al", "AL", 19, 0, 0, 0, 0, 0, 0, 6, 9, 34
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\RoutingLine.TableExt.al", "AL", 10, 0, 0, 0, 0, 0, 0, 6, 0, 16
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\SCANPANSetupExt.TableExt.al", "AL", 14, 0, 0, 0, 0, 0, 0, 7, 3, 24
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\SalesHeaderSC.TableExt.al", "AL", 14, 0, 0, 0, 0, 0, 0, 9, 0, 23
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\SalesInvHeader.TableExt.al", "AL", 15, 0, 0, 0, 0, 0, 0, 7, 5, 27
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\SalesInvoiceLine.TableExt.al", "AL", 13, 0, 0, 0, 0, 0, 0, 6, 2, 21
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\table ext\SalesLine.TableExt.al", "AL", 71, 0, 0, 0, 0, 0, 0, 16, 4, 91
